字段序号,字段名,位置,处理规则,示例源值,输出值
1,记录标识符,-,"固定为""FM""",-,FM
2,航点标识符,4,直接使用,REDGO,REDGO
3,纬度,-,坐标匹配,-,50.1092
4,经度,-,坐标匹配,-,8.8564
5,转向方向,9,"空格=0, 'L'=1, 'R'=2",0,0
6,导航台标识符,13,无数据→空格,TAU,TAU
7,方位角,18,源数据÷10.0,00690,69.0
8,距离,19,源数据÷10.0,00000,0.0
9,磁航向,20,源数据÷10.0,02490,249.0
10,高度约束,23,映射表,+,2
11,第一高度,24,格式处理,04000,4000
12,第二高度,25,格式处理,    ,0
13,速度约束,-,逻辑判断,-,1
14,第一速度,28,速度提取,160,160
15,第二速度,-,固定0,-,0
16,特殊航点,8[3],字符映射, ,0
17,飞越航点,8[1],字符判断, ,0
适用场景,人工终止进近,输出示例,"FM,REDGO,50.1092,8.8564,0,TAU,69.0,0.0,249.0,2,4000,0,1,160,0,0,0",,
