字段序号,字段名,位置,处理规则,示例源值,输出值
1,记录标识符,-,"固定为""RF""",-,RF
2,航点标识符,4,直接使用,VH525,VH525
3,纬度,-,坐标匹配,-,22.6511
4,经度,-,坐标匹配,-,113.9205
5,转向方向,9,"空格=0, 'L'=1, 'R'=2",R,2
6,弧中心,31,直接使用,VH994,VH994
7,扫掠角,计算,下一航段磁航向-当前磁航向,-,249.0
8,半径,18,1. 源数据÷1000.0<br>2. 保留1位小数,002120,2.1
9,高度约束,23,映射表,+,2
10,第一高度,24,格式处理,05910,5910
11,第二高度,25,格式处理,    ,0
12,速度约束,-,逻辑判断,-,1
13,第一速度,28,速度提取,185,185
14,第二速度,-,固定0,-,0
15,特殊航点,8[3],字符映射, ,0
16,飞越航点,8[1],字符判断, ,0
特殊规则,1. 弧中心在part31<br>2. 半径精度特殊处理,输出示例,"RF,VH525,22.6511,113.9205,2,VH994,249.0,2.1,2,5910,0,1,185,0,0,0",,
