字段序号, 字段名             , 位置    , 处理规则                     , 示例源值, 输出值
1       , 记录标识符         , -       , "固定为""CA"""               , -       , CA
2       , 转向方向           , 9       , "空格=0, 'L'=1, 'R'=2"       ,         , 0
3       , 磁航向             , 20      , 源数据÷10.0                  , 0740    , 74.0
4       , 高度约束           , 23      , 映射表                       , +       , 2
5       , 第一高度           , 24      , 格式处理                     , 00430   , 430
6       , 第二高度           , 25      , 格式处理                     ,         , 0
7       , 速度约束           , -       , 逻辑判断                     , -       , 0
8       , 第一速度           , 28      , 速度提取                     ,         , 0
9       , 第二速度           , -       , 固定0                        , -       , 0
10      , 特殊航点           , 8[3]    , 字符映射                     ,         , 0
11      , 飞越航点           , 8[1]    , 字符判断                     ,         , 0
适用场景, 爬升/下降至指定高度, 输出示例, "CA,0,74.0,2,430,0,0,0,0,0,0",         , 
