字段序号, 字段名      , 位置    , 处理规则                                                          , 示例源值, 输出值
1       , 记录标识符  , -       , "固定为""CD"""                                                    , -       , CD
2       , 航点标识符  , 4       , 直接使用                                                          ,         , 
3       , 纬度        , -       , 坐标匹配                                                          , -       , 22.6183
4       , 经度        , -       , 坐标匹配                                                          , -       , 113.8962
5       , 转向方向    , 9       , "空格=0, 'L'=1, 'R'=2"                                            ,         , 0
6       , 导航台标识符, 13      , 直接使用                                                          , NCH     , NCH
7       , 方位角      , 18      , 源数据÷10.0                                                       ,         , 0.0
8       , 距离        , 19      , 源数据÷10.0                                                       ,         , 0.0
9       , 磁航向      , 20      , 源数据÷10.0                                                       , 2060    , 206.0
10      , DME距离     , 21      , 源数据÷10.0                                                       , 0090    , 9.0
11      , 高度约束    , 23      , 映射表                                                            , +       , 2
12      , 第一高度    , 24      , 格式处理                                                          , 02300   , 2300
13      , 第二高度    , 25      , 格式处理                                                          ,         , 0
14      , 速度约束    , -       , 逻辑判断                                                          , -       , 0
15      , 第一速度    , 28      , 速度提取                                                          ,         , 0
16      , 第二速度    , -       , 固定0                                                             , -       , 0
17      , 特殊航点    , 8[3]    , 字符映射                                                          ,         , 0
18      , 飞越航点    , 8[1]    , 字符判断                                                          ,         , 0
适用场景, DME距离截获 , 输出示例, "CD, ,22.6183,113.8962,0,NCH,0.0,0.0,206.0,9.0,2,2300,0,0,0,0,0,0",         , 
