字段序号, 字段名                                                    , 位置    , 处理规则      , 示例源值, 输出值
1       , 记录标识符                                                , -       , "固定为""IF""", -       , IF
2       , 航点标识符                                                , 4       , 直接使用      , AGVOS   , AGVOS
3       , 纬度                                                      , -       , 坐标匹配      , -       , 22.6511
4       , 经度                                                      , -       , 坐标匹配      , -       , 113.9205
5       , 导航台标识符                                              , 13      , 无数据→空格   ,         , 
6       , 方位角                                                    , 18      , 源数据÷10.0   ,         , 0.0
7       , 距离                                                      , 19      , 源数据÷10.0   ,         , 0.0
8       , 高度约束                                                  , 23      , 映射表        , +       , 2
9       , 第一高度                                                  , 24      , 格式处理      , 05910   , 5910
10      , 第二高度                                                  , 25      , 格式处理      ,         , 0
11      , 速度约束                                                  , -       , 逻辑判断      , -       , 1
12      , 第一速度                                                  , 28      , 速度提取      , 180     , 180
13      , 第二速度                                                  , -       , 固定0         , -       , 0
14      , 特殊航点                                                  , 8[3]    , 字符映射      , A       , 1
15      , 飞越航点                                                  , 8[1]    , 字符判断      ,         , 0
输出示例, "IF,AGVOS,22.6511,113.9205, ,0.0,0.0,2,5910,0,1,180,0,1,0", 字段总数, 15            ,         , 
